ValueDateKey	PostingDateKey	BankTransactionId	BankAccountCode	AmountInBankAccountCurrency	BankTransactionCode	MatchedReference	IsCurrentDay	BusinessUnitCode	CashBookFlag	IsCurrentDay
20230102	20230102	1166639	422APINBOA	1772	169	0	0	4223	NonCashbook	0
20230102	20230102	1166640	066APEUBOA	1742.5	275	0	0	663	NonCashbook	0
20230102	20230102	1166641	066APEUBOA	-1742.5	469	0	0	663	NonCashbook	0
20230102	20230102	1166642	541T2EUBOA	-1742.5	577	351885	0	5413	Cashbook	0
20230102	20230102	1166643	135APEUBOA	18.15	169	0	0	1353	NonCashbook	0
20230102	20230102	1166644	471APKRCIT	23253	195	0	0	4713	NonCashbook	0
20230102	20230102	1166645	471APKRCIT	761757	399	0	0	4713	NonCashbook	0
20230102	20230102	1166646	471APKRCIT	-1408780	451	0	0	4713	NonCashbook	0
20230102	20230102	1166647	471APKRCIT	623770	275	0	0	4713	NonCashbook	0
20230102	20230102	1166648	471TRKRCIT	-623770	577	351886	0	4713	Cashbook	0
20230103	20230102	1166649	541R1USCIT	229806.5	206	0	0	5413	NonCashbook	0
20230102	20230102	1166650	132AREUCIT	11437.5	166	0	0	1323	NonCashbook	0
20230102	20230102	1166651	132AREUCIT	121.08	166	0	0	1323	NonCashbook	0
20230102	20230102	1166652	132AREUCIT	257.64	166	0	0	1323	NonCashbook	0
20230102	20230102	1166653	132AREUCIT	1735.94	166	0	0	1323	NonCashbook	0
20230102	20230102	1166654	132APEUCIT	-1968.12	500	0	0	1323	NonCashbook	0
20230102	20230102	1166655	132APEUCIT	-2596.16	699	0	0	1323	NonCashbook	0
20230102	20230102	1166656	132APEUCIT	-3919.92	699	0	0	1323	NonCashbook	0
20230102	20230102	1166657	132APEUCIT	-1106.54	699	0	0	1323	NonCashbook	0
20230102	20230102	1166658	132APEUCIT	-12074.86	699	0	0	1323	NonCashbook	0
20230102	20230102	1166659	132APEUCIT	-102.73	699	0	0	1323	NonCashbook	0
20230102	20230102	1166660	201AREUCIT	6215.1	166	0	0	2013	NonCashbook	0
20230102	20230102	1166661	293APILCIT	1762648	399	0	0	2933	NonCashbook	0
20230102	20230102	1166698	776APBRCIT	56900.96	399	0	0	7763	NonCashbook	0
20230102	20230102	1166699	776APBRCIT	148439.88	399	0	0	7763	NonCashbook	0
20230102	20230102	1166700	776APBRCIT	10598.83	399	0	0	7763	NonCashbook	0
20230102	20230102	1166701	769APCOCIT	-791	699	0	0	7693	NonCashbook	0
20230102	20230102	1166702	769APCOCIT	11305.4	399	0	0	7693	NonCashbook	0
20230102	20230102	1166744	044APEUJPM	2382.01	275	351900	0	443	NonCashbook	0
20230102	20230102	1166745	044APEUJPM	-2382.01	455	0	0	443	NonCashbook	0
20230102	20230102	1166746	153APEUJPM	177236	165	0	0	1533	NonCashbook	0
20230102	20230102	1166747	153APEUJPM	88719.75	165	0	0	1533	NonCashbook	0
20230102	20230102	1166748	153APEUJPM	3301.6	165	0	0	1533	NonCashbook	0
20230102	20230102	1166749	153APEUJPM	47.84	165	0	0	1533	NonCashbook	0
20230102	20230102	1166750	153APEUJPM	45000	195	0	0	1533	NonCashbook	0
20230102	20230102	1166751	153APEUJPM	40075.91	195	0	0	1533	NonCashbook	0
20230102	20230102	1166752	153APEUJPM	-354381.1	575	351897	0	1533	NonCashbook	0
20230101	20230102	1166753	274APUSJPM	69.03	354	0	0	2743	NonCashbook	0
20230101	20230102	1166754	276APGBJPM	1.63	354	0	0	2763	NonCashbook	0
20230101	20230102	1166755	276APGBJPM	-0.49	699	0	0	2763	NonCashbook	0
20230101	20230102	1166756	276APUSJPM	226.92	354	0	0	2763	NonCashbook	0
20230101	20230102	1166757	276APUSJPM	-68.08	699	0	0	2763	NonCashbook	0
20230101	20230102	1166758	813TRUSJPM	440524.49	354	351903	0	8133	Cashbook	0
20230101	20230102	1166759	813TRUSJPM	74649.49	354	351902	0	8133	Cashbook	0
20230102	20230102	1166760	813TREUJPM	354381.1	275	351896	0	8133	NonCashbook	0
20230102	20230102	1166761	813TREUJPM	-2382.01	575	351899	0	8133	NonCashbook	0
20230101	20230102	1166762	813TREUJPM	-113919.21	654	351898	0	8133	Cashbook	0
